eventID,date,latitude,longitude,magnitude,mag_type,depth,phasecount,azimuth_gap,agency,geometry,provinsi,index_right,kabupaten,shapeID,shapeType,keterangan
bmg2021alnn,2021-01-07,-7.135984421,107.0177383,2.739899943,M,81,18.0,131.1919022,BMKG,POINT (107.0177383 -7.135984421),Jawa Barat,86.0,Cianjur,22746128B34542084533901,ADM2,Kecil
bmg2021atfy,2021-01-11,-6.788151741,106.966156,3.184024902,M,10,27.0,79.46039581,BMKG,POINT (106.966156 -6.788151741),Jawa Barat,462.0,Sukabumi,22746128B66929526216355,ADM2,Sedang
bmg2021bicy,2021-01-19,-7.024271488,106.7646027,2.24414464,MLv,10,13.0,86.61502075,BMKG,POINT (106.7646027 -7.024271488),Jawa Barat,462.0,Sukabumi,22746128B66929526216355,ADM2,Kecil
bmg2021btbc,2021-01-25,-7.35895586,106.6289673,3.053780303,M,81,16.0,181.6401749,BMKG,POINT (106.6289673 -7.35895586),Jawa Barat,462.0,Sukabumi,22746128B66929526216355,ADM2,Sedang
bmg2021doym,2021-02-21,-7.334364414,106.9118042,2.678734191,M,110,19.0,164.1499329,BMKG,POINT (106.9118042 -7.334364414),Jawa Barat,86.0,Cianjur,22746128B34542084533901,ADM2,Kecil
bmg2021fhmc,2021-03-17,-6.591108322,108.0653076,4.950596031,M,163,10.0,168.4890137,BMKG,POINT (108.0653076 -6.591108322),Jawa Barat,126.0,Indramayu,22746128B59462811669242,ADM2,Kuat
bmg2021fkrz,2021-03-19,-7.602774143,107.9735947,3.403281297,M,10,44.0,169.608078,BMKG,POINT (107.9735947 -7.602774143),Jawa Barat,491.0,Tasikmalaya,22746128B89217704079934,ADM2,Sedang
bmg2021fnvq,2021-03-21,-7.048529148,106.7906189,2.406187113,M,10,11.0,145.4221344,BMKG,POINT (106.7906189 -7.048529148),Jawa Barat,462.0,Sukabumi,22746128B66929526216355,ADM2,Kecil
bmg2021fxhw,2021-03-26,-6.900139332,106.6093826,2.271138693,M,140,20.0,75.68677711,BMKG,POINT (106.6093826 -6.900139332),Jawa Barat,462.0,Sukabumi,22746128B66929526216355,ADM2,Kecil
bmg2021gewd,2021-03-30,-6.505594254,107.2556305,2.934759575,M,10,18.0,169.580864,BMKG,POINT (107.2556305 -6.505594254),Jawa Barat,141.0,Karawang,22746128B53840275251202,ADM2,Kecil
bmg2021gfcc,2021-03-30,-6.454142094,107.2862854,2.793540265,M,10,16.0,193.815094,BMKG,POINT (107.2862854 -6.454142094),Jawa Barat,141.0,Karawang,22746128B53840275251202,ADM2,Kecil
bmg2021gthg,2021-04-07,-7.268485069,107.7170715,2.926188499,M,10,19.0,73.76615906,BMKG,POINT (107.7170715 -7.268485069),Jawa Barat,17.0,Bandung,22746128B73297609500416,ADM2,Kecil
bmg2021hjaz,2021-04-15,-7.229521275,107.6950531,2.431585422,M,10,14.0,103.1208267,BMKG,POINT (107.6950531 -7.229521275),Jawa Barat,17.0,Bandung,22746128B73297609500416,ADM2,Kecil
bmg2021hrof,2021-04-20,-7.17679739,106.6300278,2.991877349,M,108,23.0,106.746788,BMKG,POINT (106.6300278 -7.17679739),Jawa Barat,462.0,Sukabumi,22746128B66929526216355,ADM2,Kecil
bmg2021hsze,2021-04-21,-7.450585842,108.0301819,5.050740756,M,354,11.0,213.4772949,BMKG,POINT (108.0301819 -7.450585842),Jawa Barat,491.0,Tasikmalaya,22746128B89217704079934,ADM2,Kuat
bmg2021hwlz,2021-04-23,-6.639094353,107.7963104,5.1733021,Mw,2,2.0,271.512881,BMKG,POINT (107.7963104 -6.639094353),Jawa Barat,461.0,Subang,22746128B90150108137034,ADM2,Kuat
bmg2021hyqe,2021-04-24,-6.25551939,107.6848679,4.911961324,M,10,10.0,79.97397995,BMKG,POINT (107.6848679 -6.25551939),Jawa Barat,461.0,Subang,22746128B90150108137034,ADM2,Kuat
bmg2021hzbo,2021-04-24,-7.494967937,107.3816757,2.939715198,M,10,19.0,175.5452652,BMKG,POINT (107.3816757 -7.494967937),Jawa Barat,86.0,Cianjur,22746128B34542084533901,ADM2,Kecil
bmg2021hzdb,2021-04-24,-7.270246983,107.6679688,3.665925849,Mw,5,3.0,188.2053569,BMKG,POINT (107.6679688 -7.270246983),Jawa Barat,17.0,Bandung,22746128B73297609500416,ADM2,Sedang
bmg2021ijqf,2021-04-30,-6.990860462,107.085907,2.180608712,M,17,16.0,126.843689,BMKG,POINT (107.085907 -6.990860462),Jawa Barat,86.0,Cianjur,22746128B34542084533901,ADM2,Kecil
bmg2021ijzp,2021-04-30,-7.456646919,107.5088272,2.558090984,M,47,9.0,209.1303101,BMKG,POINT (107.5088272 -7.456646919),Jawa Barat,104.0,Garut,22746128B66421464971893,ADM2,Kecil
bmg2021ipec,2021-05-03,-7.340910912,106.5814667,2.902906656,M,91,16.0,212.6089096,BMKG,POINT (106.5814667 -7.340910912),Jawa Barat,462.0,Sukabumi,22746128B66929526216355,ADM2,Kecil
bmg2021iqlr,2021-05-04,-7.35525322,106.8880615,5.204909772,M,10,10.0,210.1739578,BMKG,POINT (106.8880615 -7.35525322),Jawa Barat,86.0,Cianjur,22746128B34542084533901,ADM2,Kuat
bmg2021jtid,2021-05-19,-7.111190796,107.4189911,2.737851002,M,10,21.0,88.85864258,BMKG,POINT (107.4189911 -7.111190796),Jawa Barat,17.0,Bandung,22746128B73297609500416,ADM2,Kecil
bmg2021kcet,2021-05-24,-6.9964571,106.5570984,3.434700787,M,128,40.0,107.6294861,BMKG,POINT (106.5570984 -6.9964571),Jawa Barat,462.0,Sukabumi,22746128B66929526216355,ADM2,Sedang
bmg2021khav,2021-05-27,-7.103468895,107.2764435,2.290506102,M,185,12.0,109.1435871,BMKG,POINT (107.2764435 -7.103468895),Jawa Barat,86.0,Cianjur,22746128B34542084533901,ADM2,Kecil
