kabupaten,jumlah_gempa,rata2_magnitude,highest_magnitude,avg_lat,avg_lon,cluster,cluster_dominan
Bandung,125,2.6039187005512523,5.148449565708676,-7.204399772649359,107.60089697274375,2,Rawan Tinggi
Bandung Barat,17,2.511257587020035,3.812633097,-6.855480053748233,107.3536789797909,0,Rawan Rendah
Bekasi,1,2.7076113710695715,2.7076113710695715,-6.370882511138916,107.20407104492188,0,Rawan Rendah
Bogor,96,2.570827394919014,4.841443016,-6.714889655534747,106.60221044330952,0,Rawan Rendah
Ciamis,4,2.927151513123687,3.137340060561169,-7.238375067707886,108.32142067819824,0,Rawan Rendah
Cianjur,575,2.3025785363164952,5.204909772,-6.888826664646893,107.10047752101393,2,Rawan Tinggi
Cirebon,3,3.408410168666667,3.833428226,-6.814168770999999,108.58759816666667,1,Rawan Sedang
Garut,67,2.7154753971066565,6.086900809,-7.309058965098235,107.65516241366021,2,Rawan Tinggi
Indramayu,4,3.994754427740925,4.950596031,-6.551670789632996,108.01796150598145,1,Rawan Sedang
Karawang,28,2.6698182449701853,3.8483451609599664,-6.476583480832267,107.26133973131975,0,Rawan Rendah
Kuningan,8,3.232176866311479,4.057003037160622,-6.989048421441498,108.4982728956543,1,Rawan Sedang
Majalengka,1,3.028543057,3.028543057,-6.914759636,108.3396378,0,Rawan Rendah
Pangandaran,7,3.5360101930345245,4.327777173,-7.664960452606445,108.46468133616072,1,Rawan Sedang
Purwakarta,11,2.5799976447118778,3.657089566,-6.624928040898748,107.35404204406072,0,Rawan Rendah
Subang,9,3.1145014701052,5.1733021,-6.661333296133111,107.70656924577908,1,Rawan Sedang
Sukabumi,234,2.695586378288706,5.965892976,-6.962986681191941,106.69119017921842,2,Rawan Tinggi
Sumedang,33,2.9362595915296485,4.49374798,-6.818420973749497,107.95757894860913,0,Rawan Rendah
Tasikmalaya,7,3.480065906608854,5.050740756,-7.6041627611808735,108.07957458171039,1,Rawan Sedang
